ticker,company_name,max_down_streak,avg_down_streak,total_down_streaks,entropy
NEE,"NextEra Energy, Inc.",6,5.3125,16,0.8960382325345574
ADP,"Automatic Data Processing, Inc.",6,5.333333333333333,6,0.9182958340544894
AIZ,"Assurant, Inc.",6,5.333333333333333,6,0.9182958340544894
EG,"Everest Group, Ltd.",6,5.333333333333333,6,0.9182958340544894
HWM,Howmet Aerospace Inc.,7,5.666666666666667,3,0.9182958340544894
L,Loews Corporation,6,5.333333333333333,3,0.9182958340544894
MTB,M&T Bank Corporation,6,5.333333333333333,6,0.9182958340544894
SOLV,Solventum Corporation,8,6.666666666666667,3,0.9182958340544894
AVB,"AvalonBay Communities, Inc.",7,5.3,10,0.9219280948873624
CSGP,"CoStar Group, Inc.",6,5.357142857142857,14,0.940285958670631
INTC,Intel Corporation,7,5.285714285714286,14,0.946372935985442
BG,Bunge Global SA,6,5.375,8,0.954434002924965
FICO,Fair Isaac Corporation,6,5.375,8,0.954434002924965
GOOGL,Alphabet Inc.,6,5.6,5,0.9709505944546688
RJF,"Raymond James Financial, Inc.",6,5.4,5,0.9709505944546688
TSCO,Tractor Supply Company,6,5.6,5,0.9709505944546688
TT,Trane Technologies plc,6,5.6,5,0.9709505944546688
FTV,Fortive Corporation,6,5.583333333333333,12,0.9798687566511527
PH,Parker-Hannifin Corporation,6,5.428571428571429,7,0.9852281360342515
SYF,Synchrony Financial,6,5.428571428571429,7,0.9852281360342515
AZO,"AutoZone, Inc.",7,5.333333333333333,9,0.9864267287308426
DECK,Deckers Outdoor Corporation,10,5.666666666666667,9,0.9864267287308426
INTU,Intuit Inc.,7,5.333333333333333,9,0.9864267287308426
AFL,Aflac Incorporated,6,5.444444444444445,9,0.9910760598382222
DG,Dollar General Corporation,6,5.555555555555555,9,0.9910760598382222
JPM,JPMorgan Chase & Co.,6,5.444444444444445,9,0.9910760598382222
PCAR,PACCAR Inc,6,5.444444444444445,9,0.9910760598382222
TMUS,"T-Mobile US, Inc.",6,5.444444444444445,9,0.9910760598382222
MRK,"Merck & Co., Inc.",7,5.3076923076923075,13,0.9912642605354288
WAB,Westinghouse Air Brake Technologies Corporation,6,5.454545454545454,11,0.9940302114769566
F,Ford Motor Company,6,5.538461538461538,13,0.9957274520849256
APO,"Apollo Global Management, Inc.",6,5.5,8,1.0
MCD,McDonald's Corporation,6,5.5,8,1.0
ROP,"Roper Technologies, Inc.",6,5.5,12,1.0
BLDR,"Builders FirstSource, Inc.",7,5.333333333333333,12,1.0408520829727552
ADI,"Analog Devices, Inc.",7,5.375,8,1.061278124459133
DLR,"Digital Realty Trust, Inc.",7,5.375,8,1.061278124459133
FTNT,"Fortinet, Inc.",8,5.5,8,1.061278124459133
NCLH,Norwegian Cruise Line Holdings Ltd.,7,5.375,8,1.061278124459133
UDR,"UDR, Inc.",8,5.5,8,1.061278124459133
AWK,"American Water Works Company, Inc.",7,5.352941176470588,17,1.0863128407412879
CF,"CF Industries Holdings, Inc.",7,5.357142857142857,14,1.0949143184120973
COP,ConocoPhillips,9,5.928571428571429,14,1.0949143184120973
NFLX,"Netflix, Inc.",8,6.0,11,1.0957952550009338
PAYC,"Paycom Software, Inc.",7,5.363636363636363,11,1.0957952550009338
HD,"The Home Depot, Inc.",9,5.538461538461538,13,1.1451104143815827
SMCI,"Super Micro Computer, Inc.",9,5.538461538461538,13,1.1451104143815827
CMG,"Chipotle Mexican Grill, Inc.",8,5.571428571428571,7,1.1488348542809168
CRWD,"CrowdStrike Holdings, Inc.",7,5.428571428571429,7,1.1488348542809168
NRG,"NRG Energy, Inc.",9,5.714285714285714,7,1.1488348542809168
NVDA,NVIDIA Corporation,7,5.428571428571429,7,1.1488348542809168
WMB,"The Williams Companies, Inc.",8,5.571428571428571,7,1.1488348542809168
AXP,American Express Company,7,5.4,10,1.1567796494470395
CI,The Cigna Group,8,5.5,10,1.1567796494470395
MSFT,Microsoft Corporation,7,5.5,10,1.1567796494470395
UAL,"United Airlines Holdings, Inc.",7,5.4,15,1.1589385323502772
C,Citigroup Inc.,7,5.416666666666667,12,1.1887218755408673
CMS,CMS Energy Corporation,10,5.666666666666667,12,1.1887218755408673
JNPR,"Juniper Networks, Inc.",7,5.416666666666667,12,1.1887218755408673
PGR,The Progressive Corporation,7,5.416666666666667,12,1.1887218755408673
POOL,Pool Corporation,8,5.5,12,1.1887218755408673
TRV,"The Travelers Companies, Inc.",7,5.416666666666667,12,1.1887218755408673
CHRW,"C.H. Robinson Worldwide, Inc.",10,5.666666666666667,12,1.207518749639422
OXY,Occidental Petroleum Corporation,8,5.5,12,1.207518749639422
CRM,"Salesforce, Inc.",8,5.529411764705882,17,1.2210477851797181
ADM,Archer-Daniels-Midland Company,7,5.555555555555555,9,1.2243944454059859
NXPI,NXP Semiconductors N.V.,7,5.555555555555555,9,1.2243944454059859
CDW,CDW Corporation,7,5.444444444444445,9,1.2243944454059863
HLT,Hilton Worldwide Holdings Inc.,8,5.555555555555555,9,1.2243944454059863
LKQ,LKQ Corporation,9,5.666666666666667,9,1.2243944454059863
NDAQ,"Nasdaq, Inc.",8,5.555555555555555,9,1.2243944454059863
SNPS,"Synopsys, Inc.",9,5.666666666666667,9,1.2243944454059863
TAP,Molson Coors Beverage Company,7,5.444444444444445,9,1.2243944454059863
TEL,TE Connectivity plc,7,5.444444444444445,9,1.2243944454059863
TROW,"T. Rowe Price Group, Inc.",9,5.666666666666667,9,1.2243944454059863
IDXX,"IDEXX Laboratories, Inc.",8,5.533333333333333,15,1.2309595631140104
DAY,Dayforce Inc,8,5.538461538461538,13,1.2389012566026307
WBD,"Warner Bros. Discovery, Inc.",8,5.538461538461538,13,1.2389012566026307
AAPL,Apple Inc.,7,5.454545454545454,11,1.2406705316766884
ATO,Atmos Energy Corporation,7,5.454545454545454,11,1.2406705316766884
CCL,Carnival Corporation & plc,8,5.545454545454546,11,1.2406705316766884
PAYX,"Paychex, Inc.",7,5.454545454545454,11,1.2406705316766884
CEG,Constellation Energy Corporation,7,5.5,6,1.2516291673878228
D,"Dominion Energy, Inc.",7,5.5,12,1.2516291673878228
MMC,"Marsh & McLennan Companies, Inc.",9,5.833333333333333,6,1.2516291673878228
MSI,"Motorola Solutions, Inc.",7,5.5,6,1.2516291673878228
VTR,"Ventas, Inc.",7,5.5,12,1.2516291673878228
GS,"The Goldman Sachs Group, Inc.",7,5.5,14,1.2638091738835462
STE,STERIS plc,11,5.818181818181818,11,1.2776134368191157
DAL,"Delta Air Lines, Inc.",7,5.5,12,1.2806721295208872
UBER,"Uber Technologies, Inc.",7,5.6,15,1.2866926683547548
PODD,Insulet Corporation,8,5.5,14,1.2916919971380596
CHD,"Church & Dwight Co., Inc.",9,6.0,10,1.295461844238322
CPAY,"Corpay, Inc.",7,6.2,10,1.295461844238322
DLTR,"Dollar Tree, Inc.",9,6.3,10,1.295461844238322
GRMN,Garmin Ltd.,7,5.5,10,1.295461844238322
HUM,Humana Inc.,7,5.5,10,1.295461844238322
REG,Regency Centers Corporation,10,5.8,10,1.295461844238322
SYY,Sysco Corporation,7,5.7,10,1.295461844238322
TDY,Teledyne Technologies Incorporated,7,5.5,10,1.295461844238322
WFC,Wells Fargo & Company,7,5.538461538461538,13,1.2957378005380122
SWKS,"Skyworks Solutions, Inc.",7,5.571428571428571,14,1.2958363892911637
EBAY,eBay Inc.,8,5.625,8,1.2987949406953987
EQR,Equity Residential,7,5.625,8,1.2987949406953987
FANG,"Diamondback Energy, Inc.",8,5.875,8,1.2987949406953987
FI,"Fiserv, Inc.",7,5.875,8,1.2987949406953987
GWW,"W.W. Grainger, Inc.",16,6.625,8,1.2987949406953987
IBM,International Business Machines Corporation,10,6.125,8,1.2987949406953987
LLY,Eli Lilly and Company,9,5.75,8,1.2987949406953987
TYL,"Tyler Technologies, Inc.",8,5.875,8,1.2987949406953987
BEN,"Franklin Resources, Inc.",10,5.846153846153846,13,1.3143204867061786
BMY,Bristol-Myers Squibb Company,9,5.769230769230769,13,1.3143204867061786
DOV,Dover Corporation,9,5.769230769230769,13,1.3143204867061786
ULTA,"Ulta Beauty, Inc.",8,5.6923076923076925,13,1.3143204867061786
AVGO,Broadcom Inc.,7,5.545454545454546,11,1.3221793455166666
BK,The Bank of New York Mellon Corporation,7,5.545454545454546,11,1.3221793455166666
